"name","fips","precinctsOf","precinctsIn","pctPrecIn","pctExpVote","totalVote","ts","vote_Trump","vote_Biden","vote_Jorgensen","vote_Write-ins","pct_Trump","pct_Biden","pct_Jorgensen","pct_Write-ins","pct_diff"
"Adams","42001",50,50,100,99.6932,56540,"2021-05-03T18:30:02Z",37523,18207,810,0,66.4,32.2,1.4,0,34.2
"Allegheny","42003",1323,1323,100,99.61824,722033,"2021-05-03T18:30:12Z",282913,430759,8361,0,39.2,59.7,1.2,0,-20.5
"Armstrong","42005",62,62,100,100,36370,"2020-12-09T14:18:19Z",27489,8457,424,0,75.6,23.3,1.2,0,52.3
"Beaver","42007",129,129,100,100,94122,"2020-12-09T14:21:12Z",54759,38122,1241,0,58.2,40.5,1.3,0,17.7
"Bedford","42009",40,40,100,100,27574,"2020-11-24T13:22:23Z",23025,4367,182,NA,83.5,15.8,0.7,NA,67.7
"Berks","42011",202,202,100,100,205540,"2021-03-07T03:53:50Z",109736,92895,2909,0,53.4,45.2,1.4,0,8.2
"Blair","42013",93,93,100,100,63595,"2021-03-07T03:54:57Z",45306,17636,653,0,71.2,27.7,1,0,43.5
"Bradford","42015",61,61,100,95,30159,"2020-12-08T22:34:21Z",21600,8046,513,NA,71.6,26.7,1.7,NA,44.9
"Bucks","42017",304,304,100,100,396234,"2020-12-08T20:17:14Z",187367,204712,4155,0,47.3,51.7,1,0,-4.40000000000001
"Butler","42019",89,89,100,100,113305,"2020-12-09T14:19:58Z",74359,37508,1438,NA,65.6,33.1,1.3,NA,32.5
"Cambria","42021",125,125,100,100,70574,"2020-12-09T14:18:22Z",48085,21730,759,0,68.1,30.8,1.1,0,37.3
"Cameron","42023",10,10,100,100,2434,"2020-11-24T13:22:33Z",1771,634,29,NA,72.8,26,1.2,NA,46.8
"Carbon","42025",51,51,100,95,33629,"2021-03-07T03:53:54Z",21984,11212,433,0,65.4,33.3,1.3,0,32.1
"Centre","42027",87,87,100,100,77493,"2020-12-09T14:18:27Z",36372,40055,1066,0,46.9,51.7,1.4,0,-4.8
"Chester","42029",230,230,100,99.6038055,314502,"2021-05-03T18:30:30Z",128565,182372,3565,0,40.9,58,1.1,0,-17.1
"Clarion","42031",41,41,100,100,19493,"2020-12-09T14:18:31Z",14578,4678,237,0,74.8,24,1.2,0,50.8
"Clearfield","42033",70,70,100,99.81264,39422,"2021-05-03T18:30:50Z",29203,9673,546,0,74.1,24.5,1.4,0,49.6
"Clinton","42035",34,34,100,95,17625,"2020-12-08T22:34:31Z",11902,5502,221,NA,67.5,31.2,1.3,NA,36.3
"Columbia","42037",42,42,100,100,31171,"2021-03-07T03:53:58Z",20098,10532,541,0,64.5,33.8,1.7,0,30.7
"Crawford","42039",68,68,100,95,42004,"2020-12-09T14:20:01Z",28559,12924,521,0,68,30.8,1.2,0,37.2
"Cumberland","42041",118,118,100,100,141595,"2021-03-07T03:54:27Z",77212,62245,2138,0,54.5,44,1.5,0,10.5
"Dauphin","42043",159,159,100,100,147368,"2021-03-07T03:54:31Z",66408,78983,1977,0,45.1,53.6,1.3,0,-8.5
"Delaware","42045",428,428,100,99.6732559,327931,"2021-05-03T18:31:12Z",118532,206423,2976,0,36.1,62.9,0.9,0,-26.8
"Elk","42047",29,29,100,100,16906,"2020-11-24T13:22:50Z",12140,4522,244,NA,71.8,26.7,1.4,NA,45.1
"Erie","42049",149,149,100,100,137083,"2020-12-09T14:20:04Z",66869,0,1928,0,48.8,0,1.4,0,48.8
"Fayette","42051",77,77,100,100,62139,"2021-01-28T17:29:28Z",41227,20444,468,0,66.3,32.9,0.8,0,33.4
"Forest","42053",9,9,100,100,2646,"2020-12-09T14:18:38Z",1882,728,36,NA,71.1,27.5,1.4,NA,43.6
"Franklin","42055",73,73,100,100,80783,"2020-12-09T14:14:11Z",57245,22422,1116,0,70.9,27.8,1.4,0,43.1
"Fulton","42057",13,13,100,95,7977,"2020-11-25T00:25:19Z",6824,1085,68,0,85.5,13.6,0.9,0,71.9
"Greene","42059",42,42,100,100,17669,"2020-12-09T14:14:40Z",12579,4911,179,NA,71.2,27.8,1,NA,43.4
"Huntingdon","42061",58,58,100,95,22792,"2020-12-09T14:14:15Z",17061,5445,286,0,74.9,23.9,1.3,0,51
"Indiana","42063",69,69,100,100,41198,"2020-12-09T14:18:41Z",28089,12634,475,0,68.2,30.7,1.2,0,37.5
"Jefferson","42065",37,37,100,100,22824,"2020-11-24T13:22:58Z",17960,4527,337,NA,78.7,19.8,1.5,NA,58.9
"Juniata","42067",18,18,100,100,12043,"2020-11-24T13:22:59Z",9649,2253,141,NA,80.1,18.7,1.2,NA,61.4
"Lackawanna","42069",163,163,100,100,115410,"2021-03-07T03:53:36Z",52334,61991,1085,0,45.3,53.7,0.9,0,-8.40000000000001
"Lancaster","42071",242,242,100,99.59627,280239,"2021-05-03T18:31:31Z",160209,115847,4183,0,57.2,41.3,1.5,0,15.9
"Lawrence","42073",75,75,100,100,46076,"2020-12-09T14:20:35Z",29597,15978,501,0,64.2,34.7,1.1,0,29.5
"Lebanon","42075",60,60,100,95,71652,"2021-05-03T18:31:52Z",46731,23932,989,0,65.2,33.4,1.4,0,31.8
"Lehigh","42077",159,159,100,100,184713,"2020-12-08T22:05:41Z",84259,98288,2166,0,45.6,53.2,1.2,0,-7.6
"Luzerne","42079",186,186,100,100,153321,"2021-03-07T03:53:41Z",86929,64873,1519,0,56.7,42.3,1,0,14.4
"Lycoming","42081",81,81,100,95,59254,"2020-11-24T13:23:07Z",41462,16971,821,NA,70,28.6,1.4,NA,41.4
"McKean","42083",42,42,100,100,19466,"2020-11-24T13:23:08Z",14083,5098,285,NA,72.3,26.2,1.5,NA,46.1
"Mercer","42085",90,90,100,95,57954,"2020-11-24T13:23:09Z",36143,21067,744,NA,62.4,36.4,1.3,NA,26
"Mifflin","42087",26,26,100,100,21502,"2020-12-08T22:34:42Z",16670,4603,229,NA,77.5,21.4,1.1,NA,56.1
"Monroe","42089",52,52,100,100,83829,"2021-01-28T17:26:38Z",38726,44060,1043,0,46.2,52.6,1.2,0,-6.4
"Montgomery","42091",426,426,100,100,510157,"2021-03-07T03:53:23Z",185460,319511,5186,0,36.4,62.6,1,0,-26.2
"Montour","42093",15,15,100,99.5314255,9771,"2021-05-03T18:32:09Z",5844,3771,156,0,59.8,38.6,1.6,0,21.2
"Northampton","42095",154,154,100,99.73337,170942,"2021-05-03T18:32:30Z",83854,85087,2001,0,49.1,49.8,1.2,0,-0.699999999999996
"Northumberland","42097",74,74,100,100,42283,"2021-03-07T03:54:09Z",28952,12677,654,0,68.5,30,1.5,0,38.5
"Perry","42099",31,31,100,95,24652,"2020-11-24T13:23:16Z",18293,5950,409,NA,74.2,24.1,1.7,NA,50.1
"Philadelphia","42101",1703,1703,100,100,741377,"2020-12-08T22:03:46Z",132740,603790,4847,0,17.9,81.4,0.7,0,-63.5
"Pike","42103",18,18,100,100,32554,"2020-12-08T22:09:10Z",19213,13019,322,0,59,40,1,0,19
"Potter","42105",30,30,100,100,9064,"2020-11-24T13:21:41Z",7239,1726,99,NA,79.9,19,1.1,NA,60.9
"Schuylkill","42107",125,125,100,95,70603,"2021-03-07T03:54:13Z",48871,20727,1005,0,69.2,29.4,1.4,0,39.8
"Snyder","42109",25,25,100,95,19140,"2020-11-24T13:21:45Z",13983,4910,247,NA,73.1,25.7,1.3,NA,47.4
"Somerset","42111",50,50,100,95,40543,"2020-12-09T14:14:20Z",31466,8654,423,0,77.6,21.3,1,0,56.3
"Sullivan","42113",15,15,100,95,3595,"2020-12-08T22:14:19Z",2619,921,55,0,72.9,25.6,1.5,0,47.3
"Susquehanna","42115",41,41,100,95,21752,"2020-12-08T22:34:51Z",15207,6236,309,NA,69.9,28.7,1.4,NA,41.2
"Tioga","42117",41,41,100,95,21075,"2020-12-08T22:34:55Z",15742,4955,378,0,74.7,23.5,1.8,0,51.2
"Union","42119",27,27,100,95,20115,"2020-11-24T13:21:49Z",12356,7475,284,NA,61.4,37.2,1.4,NA,24.2
"Venango","42121",44,44,100,95,26528,"2020-12-09T14:18:59Z",18569,7585,374,0,70,28.6,1.4,0,41.4
"Warren","42123",33,33,100,95,20650,"2020-12-09T14:19:03Z",14237,6066,347,0,68.9,29.4,1.7,0,39.5
"Washington","42125",180,180,100,95,118478,"2020-12-09T14:14:43Z",72080,45088,1310,NA,60.8,38.1,1.1,NA,22.7
"Wayne","42127",35,35,100,100,28089,"2020-11-24T13:21:55Z",18637,9191,261,NA,66.3,32.7,0.9,NA,33.6
"Westmoreland","42129",307,307,100,95,204697,"2021-05-03T18:32:45Z",130218,72129,2350,0,63.6,35.2,1.1,0,28.4
"Wyoming","42131",28,28,100,100,14858,"2020-12-08T22:34:59Z",9936,4704,218,0,66.9,31.7,1.5,0,35.2
"York","42133",160,160,100,100,238471,"2021-03-07T03:54:36Z",146733,88114,3624,0,61.5,36.9,1.5,0,24.6
